"","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",0.000212597748921183,0.00015618375781633,0.000140784228738889,0.000141673564274759,0.000144815835597799,0.000136961204425853,0.000115141347890157,8.91417977790813e-05,6.62212620665734e-05,4.91846010088385e-05,3.80540180634767e-05,3.13930054461396e-05,2.70884091953849e-05,2.38341843872436e-05,2.08464080031059e-05,1.76695005744988e-05,1.43276813003644e-05,1.15690800385645e-05,9.81933737912796e-06,9.24730506401854e-06,1.01996915355433e-05,1.37153928331798e-05,2.10259835297927e-05,3.27044139953151e-05,4.59216480332284e-05,5.17903278582983e-05,4.2085294918435e-05,2.5044270734774e-05,1.22226309731921e-05,5.49273457150417e-06,2.55193400069791e-06,1.37329733466659e-06,8.83832395906674e-07,6.32345028199608e-07,4.64280215734528e-07,3.22932048772878e-07,1.96494005542552e-07,1.0249345734948e-07,5.10722394931443e-08,2.75513083387809e-08,1.82345379992788e-08,1.67791142750856e-08,2.3114375605474e-08,4.22890458479266e-08,8.70734353062368e-08,1.70975951965862e-07,2.71303519323582e-07,3.0319334284236e-07,2.5182569423447e-07,1.77678784754205e-07,1.21753250022053e-07,9.2638027398922e-08,8.84909355720106e-08,1.03667146003845e-07,1.31222360207487e-07,1.57778645937957e-07,1.5842058484184e-07
"11",0.000257969431712568,0.000198423668683915,0.000182465504631101,0.000184556730821148,0.000188903747099701,0.000180200572594665,0.000154893205852846,0.000124258165742418,9.68629666177863e-05,7.63932068186413e-05,6.34617646589514e-05,5.67183941809327e-05,5.32086862428595e-05,5.07762058473089e-05,4.77671499298576e-05,4.29301157950915e-05,3.61882249715326e-05,2.96731962006073e-05,2.4903404874909e-05,2.25089921799664e-05,2.30548264004704e-05,2.78337435540061e-05,3.7716210878968e-05,5.24386495855873e-05,6.83701653093981e-05,7.64008384938462e-05,6.73019490331553e-05,4.73357682871828e-05,2.90165387095156e-05,1.69555973060798e-05,1.03302021638889e-05,7.16381961806147e-06,5.75303904973777e-06,4.9708013067441e-06,4.26770977359369e-06,3.36252663004757e-06,2.24615454572712e-06,1.2462996578535e-06,6.39021845823921e-07,3.42476729634974e-07,2.1701028006393e-07,1.8389717251839e-07,2.24813715948414e-07,3.57345201762561e-07,6.37910912204866e-07,1.10465982588319e-06,1.60281378040046e-06,1.72521944138114e-06,1.44333988673179e-06,1.05492621269526e-06,7.57307784196408e-07,6.003261913738e-07,5.85043746614413e-07,6.85998595390858e-07,8.64801652695073e-07,1.04535148066629e-06,1.08057484601027e-06
"12",0.000318804538561937,0.000254844586940814,0.000236663392947556,0.00023844560966309,0.000243415349339694,0.000235326624574609,0.000209630828002896,0.000177208732269346,0.000147034302796515,0.000123854983971771,0.000109547630138474,0.00010347055680028,0.000101947508057482,0.00010175019371169,9.98953904836192e-05,9.3682829550756e-05,8.24140077015831e-05,7.00261549121698e-05,5.9918376012219e-05,5.38297821252521e-05,5.2938346327648e-05,5.89086288197156e-05,7.17699371052091e-05,8.98467421108697e-05,0.00010844953314856,0.000118437189160942,0.000110309230561464,8.84430297526237e-05,6.49858926093584e-05,4.66510431827171e-05,3.4879760833616e-05,2.89135883638496e-05,2.67528239762486e-05,2.58899559081651e-05,2.44393013866978e-05,2.09866837538633e-05,1.5293938263401e-05,9.29150307142961e-06,5.17003186932663e-06,2.93722006265985e-06,1.89937706326987e-06,1.55852095954484e-06,1.7375628478879e-06,2.41949897195008e-06,3.73087248800595e-06,5.64856868743655e-06,7.44479023166076e-06,7.72823407337834e-06,6.56173763302215e-06,5.01234590338919e-06,3.78968078288738e-06,3.12003518129265e-06,3.05278951939066e-06,3.48696922531706e-06,4.23976068656724e-06,4.99603965443078e-06,5.19458721013859e-06
"13",0.000398190734750871,0.00032883912024301,0.000306554168592153,0.000306261930978244,0.000311294515328694,0.000305805449332459,0.000284160191853896,0.000254982008592936,0.000226286675220295,0.000203416617167814,0.000189691960825703,0.000185629853390594,0.000187217443510245,0.000190293445032214,0.000190616201838123,0.000184006725097457,0.000168762010021431,0.000150074620069157,0.000133264580199933,0.000121697178907411,0.000117703113500471,0.000123471487428219,0.000137772527060376,0.00015719617776715,0.000176288546692149,0.000186779116180505,0.000180220647371308,0.000159361484611636,0.000134373612735389,0.00011251934081107,9.74436801252933e-05,9.07968372353686e-05,9.10118342375156e-05,9.32287279811349e-05,9.24013508617233e-05,8.38948838714308e-05,6.60798894144052e-05,4.45492977938774e-05,2.77178816871435e-05,1.73609076755113e-05,1.19405308265077e-05,9.83692086354938e-06,1.02610535246482e-05,1.27203184051749e-05,1.71013138383382e-05,2.27529990511801e-05,2.73386905169052e-05,2.74892394843274e-05,2.37971592770796e-05,1.90608503795622e-05,1.51828947047021e-05,1.2927139381045e-05,1.2569298391449e-05,1.37730613409844e-05,1.58696759500588e-05,1.79192402226544e-05,1.84791037605258e-05
"14",0.000498806328926801,0.00042366195228432,0.000395741385209621,0.000391982625194541,0.000396957807716045,0.000396443760787967,0.000384078693730724,0.000365044495893455,0.000344951102446052,0.00032843890679644,0.00031931979299795,0.000318972601631121,0.000323796535415895,0.000329552442627655,0.000331781860423566,0.000325985852180462,0.000309874448923307,0.000288287502717814,0.000266963245403662,0.000250262239985931,0.000241540503326605,0.000243372481809442,0.000253717839846242,0.000268382101025486,0.000282474548638332,0.000290087190949331,0.000285448155154962,0.000270147610129315,0.000251049387442228,0.000233993783921165,0.00022342901179834,0.000223092469712205,0.000231949290111713,0.000242193608030257,0.000244444286707375,0.000229525415151227,0.00019300584673249,0.000144092495473855,0.000100915701853608,7.06403492579193e-05,5.26567277189668e-05,4.45340305503715e-05,4.45178037044525e-05,5.03226162279335e-05,6.03128592599202e-05,7.18626650013341e-05,7.98128622652846e-05,7.83117640265445e-05,6.92407423422631e-05,5.80197221049391e-05,4.84631528344158e-05,4.24436423051574e-05,4.08241877965793e-05,4.2764658024665e-05,4.65460008241688e-05,5.01792580945116e-05,5.10769748495596e-05
"15",0.000621852166220751,0.00054156002087931,0.000507991098213972,0.000500943409412181,0.000506894163615538,0.000513829008351906,0.00051523137566531,0.000512819210434205,0.000509014875472323,0.0005062053989382,0.000506728264957931,0.000511573281292584,0.000518448439021362,0.000524481864805003,0.000526677496629213,0.000522048227244587,0.000508914681037374,0.000490202279564921,0.000469766882775048,0.0004509692469615,0.000436666275968219,0.0004289791712005,0.000426797098964636,0.00042774129162441,0.000429519431701379,0.000429827141424396,0.000426557685511378,0.000420605327722224,0.00041508629884317,0.00041303135455941,0.00041746781862928,0.000431639831970156,0.000453720654411104,0.000473730840082653,0.00047948029748493,0.000459119563026521,0.000405940807948262,0.000329894415729194,0.000255923565037471,0.000197937046433975,0.000159398351494517,0.000139585046249902,0.000136720305319379,0.00014542560941608,0.000160880502572111,0.000177280711510321,0.000186361419060723,0.000180284774781258,0.000162623067078351,0.000141461752332219,0.000122736306676274,0.000109856950629339,0.000104637751554267,0.000105629032055027,0.000109790843541381,0.000114094411965853,0.000115108015810874
"16",0.000764639006336559,0.000681147275390407,0.000643848319173684,0.000635526947917658,0.000644676932003856,0.000661471509687079,0.000679635801324674,0.000698005416097052,0.000715734835444587,0.000731896576017882,0.000745495931660851,0.000755719498805362,0.000762297217862635,0.000765085518988753,0.000763996120665702,0.000758999399805092,0.000750181668447573,0.000737916449292247,0.000722670614427155,0.000704924801442874,0.000685158591394694,0.00066397275828642,0.000642924856548016,0.000623839503949608,0.000608333609973028,0.000597889073083471,0.000593893962360698,0.000596742789253538,0.000606176756347416,0.000622117377219129,0.000644664064789549,0.000673974231234511,0.000706206855705615,0.000731262908364387,0.000737441937005306,0.000713763735641573,0.000653495995040482,0.000564929554409409,0.000473083080442344,0.000395147532817514,0.000338958753882689,0.000307458930827599,0.000300537898730132,0.000310298532653133,0.000328638888921459,0.00034674272116623,0.000353944634012986,0.000341121953572733,0.000313155864806128,0.000280114235539236,0.000249747288468421,0.00022705160311702,0.000214959884148223,0.000211790623051907,0.000213703631205079,0.000217256231452598,0.000218920812028101
"17",0.000917907723382491,0.000834241542427568,0.000796281201791967,0.000789542658469201,0.000804399597826066,0.000832971930819242,0.000869359376666583,0.00091001087135868,0.000950944485429457,0.000987434227578296,0.00101412582200117,0.00102762836914475,0.00103022716876025,0.00102543137461853,0.00101690623849677,0.00100827720601959,0.00100199995972113,0.000996012688611827,0.000987140788094339,0.000972339717160842,0.000948831951342081,0.000915059789082018,0.000875439202566628,0.000836335450709784,0.000803121638795082,0.000780363169723852,0.000772019680608942,0.000777940317966111,0.000795157562304809,0.000820918634365059,0.000852389404731754,0.000886336868475091,0.000917455316192285,0.000937692474896664,0.000938485556045943,0.000912197039573225,0.000854013984415124,0.000770046807617101,0.000680557458998977,0.00060135128630808,0.000541910672481711,0.000508023031286591,0.000501746199036868,0.000514466773528992,0.00053619507696846,0.000556160657298263,0.000562094525981948,0.000543869301483776,0.000506981019105228,0.000462776911064286,0.000420455245574149,0.000386474867581289,0.000364939034166722,0.000354687905337867,0.000352146250044476,0.000354395129101543,0.000358738318769063
"18",0.00106475712025151,0.000984576488303459,0.000949483453133949,0.000947193025540422,0.000969564826901341,0.00101014330598178,0.00106326496919652,0.0011234859976548,0.00118415730910745,0.00123712803302093,0.00127302197928194,0.00128616489345584,0.00128146513838633,0.0012660721527773,0.00124722197264544,0.00123184142959219,0.00122455832104696,0.00122160446091711,0.00121712628038463,0.00120537445658903,0.00118091071371597,0.00114018687512335,0.00108900147997895,0.001036375134524,0.000989902390044585,0.000955884515731209,0.000939550595189901,0.000940297810338187,0.000953600506532779,0.000975193275131236,0.00100070364020584,0.0010253674253752,0.00104407480937673,0.00105158666506558,0.00104281533450542,0.00101345896198528,0.000960819321471673,0.000889394596006418,0.000814133078928086,0.000747563789192274,0.000698484605885994,0.000673635427617691,0.000676471916993867,0.000698736580078942,0.000729693234501898,0.000757276653161528,0.000767680485334905,0.000749341886054216,0.000707863527623082,0.000655698478831973,0.000603490898785844,0.0005592113506461,0.000528272615280629,0.000510681696193947,0.000503963515291089,0.000506401051064614,0.000516805211659492
"19",0.0011812632994172,0.00110806303347384,0.00107852194436372,0.00108205063192694,0.00111154633424166,0.00116138366608918,0.00122594971629407,0.00129856010708773,0.00137083366312995,0.00143245707917679,0.00147162969772557,0.0014815105607452,0.00146899716938117,0.00144378880896323,0.00141549843749148,0.00139313959008364,0.00138271438461417,0.00137970631735723,0.00137704192359139,0.0013677414769934,0.00134507724180025,0.00130428398367393,0.00125076967720319,0.00119370005797496,0.00114094827671167,0.00109908113047558,0.00107341664998881,0.00106330527616708,0.00106415637222595,0.00107168811626149,0.00108169421743023,0.00108987534928013,0.00109233565177516,0.00108587596320162,0.00106759034561645,0.00103510602470574,0.000986929265593592,0.000926568250865626,0.000865430508422558,0.000813455077332507,0.00077833170754308,0.00076684717847259,0.00078317443776739,0.000819573535627584,0.000864961436738132,0.000906117702410677,0.000927366043401596,0.000915023799229099,0.000874395662746452,0.000819008285221284,0.000761016942518558,0.000709981643408866,0.000672746986902725,0.000650678569850474,0.000642598138491181,0.000648151487227778,0.000667857121357605
"20",0.00124084388525354,0.00117701538553193,0.00115339791999335,0.00116104213255045,0.00119379113882478,0.00124668447048876,0.00131432492414917,0.00138963855976173,0.00146376367791119,0.00152590379012301,0.00156384074109873,0.00157073286384483,0.00155424317258729,0.00152488484247144,0.00149297033594263,0.00146810112921356,0.00145668806135807,0.00145413702131603,0.00145319989216786,0.00144670407641035,0.00142764899437654,0.00139080153318999,0.00134058056930991,0.00128518487309642,0.00123183063613811,0.00118663428869503,0.00115453028349285,0.00113514033815979,0.0011246031829057,0.00111934851684923,0.00111598501074709,0.00111120143808565,0.00110210147528049,0.00108636552824801,0.00106193752086928,0.0010271492292291,0.000980914717362325,0.000926246533078279,0.000872930736478704,0.000829656905393484,0.000803508632133715,0.000801241672969701,0.000827450271000275,0.00087485877016841,0.000932364290637574,0.00098609534609082,0.00101899427192553,0.00101550339802118,0.000980176242009714,0.000926900704992939,0.000868704422083653,0.00081625181482927,0.000777521968899292,0.000755060489806458,0.000748851751091805,0.000759773512183093,0.000789906722687258
"21",0.00123209619014875,0.0011779682676619,0.00115856617666348,0.00116669239451857,0.00119726461030913,0.00124614044557451,0.00130853454925431,0.00137782450275628,0.00144582520224437,0.00150270427873558,0.00153742691627899,0.00154391219547266,0.00152931672022001,0.00150333858000591,0.00147549758065538,0.00145472311300003,0.00144702400025893,0.00144801682083384,0.00145075039607275,0.00144827736684466,0.00143373696069088,0.00140185712532063,0.00135646408839604,0.00130507778352756,0.00125443392584347,0.00121032563593074,0.00117746532141882,0.00115569597145085,0.00114165031661292,0.00113220887567542,0.0011244337802895,0.00111549279156783,0.00110281760432627,0.00108419921319617,0.00105767700097778,0.00102165839727066,0.000975091959353753,0.000920906148298255,0.000868645980394687,0.000826794927029734,0.000802324846678336,0.000801991972520084,0.000830552324304183,0.000881103487758713,0.000942926963604485,0.0010024175643377,0.00104247830444732,0.00104696552413537,0.00101939605815887,0.00097284099536468,0.000919988456674124,0.000871601062453999,0.000836074319644533,0.000816769491037812,0.000814632928009962,0.000831537818931919,0.00087078192330342
"22",0.00116723259049368,0.00112108338978999,0.00110396790797702,0.00111008944541271,0.00113523943338861,0.00117593891410532,0.0012281310609703,0.00128621998554301,0.00134343910319976,0.00139179258600206,0.0014223637005639,0.0014302581412693,0.00142134494686321,0.00140353571524818,0.00138466268423308,0.00137220397750788,0.00137124204609216,0.00137777350956388,0.00138543651543315,0.00138776952290673,0.0013783096677745,0.00135202597094536,0.0013124803792604,0.00126680453291002,0.00122146552165743,0.00118209789270141,0.00115335138456219,0.00113517845826368,0.00112438723220958,0.00111798929516229,0.00111314072355607,0.00110706653333588,0.00109704022565392,0.0010804434626533,0.001054914179463,0.00101852743125143,0.000970024961525682,0.000912545307193902,0.000856361692149337,0.000810475228134525,0.000782078641789103,0.00077792496641304,0.000802704147739702,0.000849773081281892,0.000909056421587495,0.00096789858966738,0.00101025443423529,0.00102056478972647,0.00100131037861916,0.000963986201620976,0.000920051884844025,0.000879546211596206,0.000850620009299657,0.000837003665500094,0.000840268187504866,0.000862906860611949,0.000908912348414498
"23",0.00106561653823882,0.00102478841006908,0.00100865792054275,0.00101214702063081,0.00103144684853062,0.00106332128630446,0.00110427846099654,0.00114997590628855,0.00119531039845632,0.00123435545238655,0.00126054024025895,0.00127026716221065,0.00126793966864775,0.00125947302024095,0.00125079895429049,0.00124771705607016,0.00125419940805408,0.00126669161698735,0.00127955429203004,0.00128694427830804,0.00128293206572476,0.00126286191245999,0.00123013181338486,0.00119155426289976,0.00115337785439336,0.0011211254752403,0.00109944726968462,0.00108837035789866,0.0010847544031685,0.00108560726474419,0.00108801491526054,0.00108905402689349,0.00108555730115284,0.00107413377128573,0.00105165123311288,0.00101554295928105,0.000964170597477807,0.000901103229759112,0.000838015235310305,0.000784911085750428,0.000749401689302111,0.00073819141903104,0.000755702520783059,0.00079542339309722,0.000848000471806522,0.000902046053841137,0.000943150168558144,0.000957056371890415,0.000945369361521067,0.000917740362897391,0.00088399310944274,0.000852992271662851,0.000832217700776873,0.000825402861397741,0.000834415868167795,0.000862009533551325,0.000912388663696733
"24",0.000946936139769929,0.000908785812350257,0.000893184418611302,0.000894960876975056,0.000910111987110347,0.000935106071305333,0.000966683141277165,0.00100169891528013,0.00103659014707765,0.00106728593701424,0.00108930197793431,0.00110022567234062,0.00110323542095654,0.00110256658940564,0.00110252624323538,0.0011074338341446,0.00112025789603695,0.00113790419790341,0.00115547492683592,0.00116778305580447,0.00116947328881676,0.00115628025559426,0.00113133172207176,0.00110097543296357,0.00107112293948547,0.00104710024450937,0.00103351062155566,0.00103049719597264,0.00103505481892877,0.00104425360903302,0.00105515471246348,0.00106470586248332,0.00106922443074061,0.00106434293823846,0.00104591752462302,0.0010105227824085,0.000956024724272805,0.000886556591989398,0.000815559665250626,0.000754286023226873,0.000710831291121886,0.000691777236870312,0.000701126739264588,0.000732394966909511,0.00077690144463776,0.000824539495876944,0.000862651046918755,0.000878526233200357,0.000873094825931292,0.000854257237567631,0.000830193030876246,0.00080849112212907,0.00079579479742496,0.000795638891858532,0.000809980720504458,0.000841605606598223,0.000894642054699886
